filename,activation,valence 
f05 (3).wav,2.5,2.5
f05 (4).wav,3.5,2
f05 (5).wav,3.5,2.5
f05 (6).wav,3,2
f06 (1).wav,3,3
f06 (3).wav,3,2
f06 (4).wav,3,2.5
f06 (5).wav,3.5,2.5
f06 (6).wav,2.5,2
f07 (1).wav,3.5,2
f07 (2).wav,4.5,1
f07 (5).wav,2.5,2
f07 (6).wav,2,2
f08 (1).wav,4,2
f08 (2).wav,5,1
f08 (4).wav,4,2
f08 (5).wav,3.5,2.5
f08 (6).wav,3,2
f09 (1).wav,3.5,2
f09 (4).wav,4.5,1
f09 (5).wav,4.5,1.5
f10 (01).wav,4,2
f10 (2).wav,5,1
f10 (3).wav,4,2
f10 (4).wav,4,1.5
f10 (5).wav,2.5,3
f10 (6).wav,4,2
f11 (5).wav,3,2
f11 (6).wav,2.5,2
f12 (01).wav,3,2.5
f12 (2).wav,4,2
f12 (3).wav,1,2
f12 (4).wav,2,1.5
f12 (5).wav,1,1
f12 (6).wav,2,2
f13 (01).wav,3,2
f13 (2).wav,4.5,1.5
f13 (3).wav,3,2
f13 (5).wav,2.5,2.5
f13 (6).wav,3,2.5
f14 (2).wav,3.5,2
f14 (5).wav,1.5,2.5
f14 (6).wav,3,2
f15 (1).wav,2,2
f15 (2).wav,4,2
f15 (3).wav,3.5,2
f15 (4).wav,4,2
f15 (5).wav,3,1.5
f16 (1).wav,3,2.5
f16 (2).wav,4,2
f16 (3).wav,4,2
f16 (4).wav,3.5,2
f16 (5).wav,4,2.5
f16 (6).wav,2.5,2
f17 (1).wav,3,3
f17 (2).wav,4,2
f17 (4).wav,4,2
f17 (6).wav,3,2
f18 (1).wav,3,3
f18 (2).wav,4,2
f18 (3).wav,4,2
f18 (4).wav,4,2
f18 (5).wav,4.5,1.5
f18 (5)b.wav,4.5,1.5
f18 (6).wav,2.5,2
f19 (1).wav,3,3
f19 (2).wav,4,1.5
f19 (3).wav,5,2
f19 (4).wav,3,2
f19 (6).wav,2,2
f20 (1).wav,1.5,3
f20 (4).wav,3.5,2
h01 (1).wav,3,3
h01 (3).wav,4,3.5
h01 (4).wav,3.5,3
h01 (5).wav,4,3.5
h01 (6).wav,3,3.5
h02 (2).wav,3,3
h02 (4).wav,3,3
h02 (5).wav,4,3
h03 (1).wav,3,3
h03 (2).wav,4,3
h03 (3).wav,2.5,4
h03 (4).wav,3.5,3.5
h03 (5).wav,3.5,3.5
h03 (6).wav,3,3
h04 (1).wav,3,3
h04 (2).wav,4,4
h04 (4).wav,4,2
h04 (5).wav,5,3
h04 (6).wav,3.5,3
h05 (1).wav,3,3
h05 (2).wav,4,3.5
h05 (3).wav,3,5
h05 (4).wav,3,2
h05 (5).wav,3.5,3
h06 (1).wav,2,3
h06 (2).wav,4,3
h06 (3).wav,4,3
h06 (4).wav,4,2
h06 (5).wav,4.5,2.5
h07 (1).wav,4,3.5
h07 (2).wav,4,3
h07 (4).wav,4,3.5
h07 (5).wav,4.5,2.5
h07 (6).wav,3,3
h08 (1).wav,3,3
h08 (2).wav,4,2.5
h08 (3).wav,4.5,2
h08 (4).wav,4.5,3
h08 (5).wav,4,3
h09 (1).wav,2,5
h09 (2).wav,4.5,5
h09 (3).wav,4,5
h09 (4).wav,4,2.5
h09 (5).wav,4,2
h09 (6).wav,4,3
h10 (2).wav,4,4
h10 (3).wav,4,4.5
h10 (4).wav,3.5,3
h10 (5).wav,4.5,3.5
h10 (6).wav,4,3
h11 (1).wav,1.5,3
h11 (2).wav,4,5
h11 (4).wav,4,3.5
h11 (5).wav,4,3.5
h11 (6).wav,3.5,3.5
h12 (1).wav,3.5,3
h12 (2).wav,4,3
h12 (3).wav,2.5,3.5
h12 (4).wav,3.5,2.5
h13 (3).wav,3.5,3
h13 (5).wav,3.5,3.5
h13 (6).wav,3.5,3
h14 (3).wav,3.5,2.5
h14 (4).wav,4,3.5
h14 (6).wav,3.5,3.5
h15 (3).wav,4.5,5
h15 (4).wav,4,3.5
h15 (5).wav,4,4
h16 (1).wav,3,3
h16 (2).wav,3.5,3
h16 (4).wav,3.5,3
h16 (5).wav,4,3.5
h17 (1).wav,3,3
h17 (2).wav,4,3.5
h17 (3).wav,4,3.5
h17 (4).wav,4,4
h18 (3).wav,4,3
h18 (4).wav,4,3.5
h19 (1).wav,3.5,3
h19 (2).wav,4,3.5
h19 (3).wav,3.5,5
h19 (5).wav,4,4
h19 (6).wav,3,4
h20 (1).wav,4,5
h20 (2).wav,4,4
h20 (3).wav,3.5,4
h20 (4).wav,4.5,4
h20 (5).wav,4,2.5
h20 (6).wav,3,4.5
s01 (1).wav,3,3
s01 (3).wav,1.5,3
s01 (5)b.wav,2,2
s01 (6).wav,2,2
s02 (3).wav,3,2
s02 (4).wav,1.5,2.5
s02 (5).wav,2,2
s02 (6).wav,2,2.5
s03 (1).wav,3,3
s03 (2).wav,3.5,2.5
s03 (3).wav,2.5,3
s03 (4).wav,3,3
s03 (6).wav,2,2
s04 (1).wav,2,2.5
s04 (2).wav,2,2.5
s04 (3).wav,3,2
s04 (4).wav,2.5,2.5
s04 (5).wav,1.5,2
s04 (5)b.wav,2,2
s05 (1).wav,3,3
s05 (2).wav,3,3
s05 (3).wav,nan,nan
s05 (4).wav,2,2.5
s05 (5).wav,2,2
s05 (6).wav,3,3
s06 (1).wav,3,2.5
s06 (2).wav,3.5,3
s06 (4).wav,3.5,2
s06 (5).wav,2.5,2
s07 (1).wav,3,3
s07 (3).wav,1,3
s07 (4).wav,2.5,2
s07 (5).wav,2,2
s07 (6).wav,3,2
s08 (1).wav,3,2.5
s08 (3).wav,2.5,2.5
s08 (4).wav,2.5,3
s08 (6).wav,1.5,2
s09 (1).wav,3,3
s09 (2).wav,2.5,3
s09 (4).wav,3,2.5
s09 (5).wav,1.5,2.5
s10 (1).wav,3,3
s10 (4).wav,2.5,2.5
s10 (5).wav,3,2
s10 (6).wav,3,2
s11 (1).wav,3,3
s11 (2).wav,2.5,2
s11 (4).wav,3,2.5
s11 (5).wav,2,1
s11 (6).wav,1.5,1
s12 (1).wav,3,3
s12 (5).wav,2.5,2
s12 (6).wav,1,2
s13 (1).wav,3,2.5
s13 (2).wav,1.5,2.5
s13 (3).wav,2,2
s13 (5).wav,1.5,2
s13 (6).wav,2,2
s14 (1).wav,2.5,2.5
s14 (3).wav,2,3
s14 (4).wav,2.5,2.5
s14 (5).wav,2.5,2
s15 (1).wav,3,3
s15 (2).wav,3,3
s15 (3).wav,3,2.5
s15 (4).wav,3,3
s15 (5).wav,2,2
s15 (6).wav,1.5,1.5
s16 (1).wav,3.5,2.5
s16 (2).wav,3.5,3
s16 (3).wav,3,3
s16 (4).wav,4,2.5
s16 (5).wav,3.5,2
s16 (6).wav,2,2.5
s17 (2).wav,3.5,2.5
s17 (4).wav,3.5,2.5
s17 (5).wav,2.5,2.5
s17 (6).wav,2.5,2
s18 (2).wav,3,2
s18 (4).wav,3,2.5
s18 (5).wav,3.5,2.5
s18 (6).wav,2,3
s19 (1).wav,3,3
s19 (2).wav,3,3
s19 (3).wav,3,3
s19 (5).wav,2,2
s19 (6).wav,1.5,3
s20 (1).wav,2,1
s20 (3).wav,3,3
s20 (4).wav,3,1.5
s20 (5).wav,2.5,2
s20 (6).wav,1,2.5
